id,date_time,rpi_id,room_id,temp,humidity,light,sound,flame,vibration,motion,smoke,co,lpg
2020-06-11 01:27:05_m1_r1,2020-06-11 01:27:05,m1,r1,29.0,53.0,0,1,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:28:06_m1_r1,2020-06-11 01:28:06,m1,r1,29.0,53.0,0,2,0,0,17,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:29:07_m1_r1,2020-06-11 01:29:07,m1,r1,29.0,53.0,0,1,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:30:09_m1_r1,2020-06-11 01:30:09,m1,r1,29.0,52.0,0,2,0,0,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:31:10_m1_r1,2020-06-11 01:31:10,m1,r1,29.0,52.0,0,3,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:32:11_m1_r1,2020-06-11 01:32:11,m1,r1,29.0,52.0,0,2,0,1,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:33:12_m1_r1,2020-06-11 01:33:12,m1,r1,29.0,52.0,0,1,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:34:13_m1_r1,2020-06-11 01:34:13,m1,r1,29.0,53.0,0,3,0,0,0,0.02191035612847191,0.005431979151558849,0.008175661027582163
2020-06-11 01:35:13_m1_r1,2020-06-11 01:35:13,m1,r1,29.0,52.0,0,2,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:36:17_m1_r1,2020-06-11 01:36:17,m1,r1,29.0,52.0,0,2,0,0,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:37:18_m1_r1,2020-06-11 01:37:18,m1,r1,29.0,52.0,0,4,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:38:19_m1_r1,2020-06-11 01:38:19,m1,r1,29.0,52.0,0,4,0,2,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:39:20_m1_r1,2020-06-11 01:39:20,m1,r1,29.0,52.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:40:20_m1_r1,2020-06-11 01:40:20,m1,r1,29.0,52.0,0,2,0,0,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:41:21_m1_r1,2020-06-11 01:41:21,m1,r1,29.0,52.0,0,2,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 01:42:22_m1_r1,2020-06-11 01:42:22,m1,r1,29.0,52.0,0,1,0,0,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:43:23_m1_r1,2020-06-11 01:43:23,m1,r1,29.0,52.0,0,2,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:44:24_m1_r1,2020-06-11 01:44:24,m1,r1,29.0,52.0,0,1,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 01:45:24_m1_r1,2020-06-11 01:45:24,m1,r1,29.0,52.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:46:25_m1_r1,2020-06-11 01:46:25,m1,r1,29.0,52.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:47:26_m1_r1,2020-06-11 01:47:26,m1,r1,29.0,52.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:48:27_m1_r1,2020-06-11 01:48:27,m1,r1,29.0,52.0,0,2,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:49:28_m1_r1,2020-06-11 01:49:28,m1,r1,29.0,52.0,0,1,0,0,95,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:50:28_m1_r1,2020-06-11 01:50:28,m1,r1,29.0,52.0,0,2,0,0,0,0.021878735865494107,0.005421836402440894,0.008164614806043424
